"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050708","BP","GO:0050708","regulation of protein secretion","20/479","331/28891",8.27112506971431e-07,0.00288950925838081,0.00238628706404577,"102635496/56508/15378/14683/24088/15107/74772/18096/75387/16534/233079/20377/16971/360013/74370/12289/17886/21844/12488/13640",20
"GO:0043087","BP","GO:0043087","regulation of GTPase activity","20/479","345/28891",1.56850683073498e-06,0.00288950925838081,0.00238628706404577,"13838/56508/14683/76089/320292/52850/232201/319899/54712/109934/50779/217944/22418/66725/12053/21844/320484/13640/20469/11554",20
"GO:0034329","BP","GO:0034329","cell junction assembly","24/479","481/28891",2.07281869324305e-06,0.00288950925838081,0.00238628706404577,"13518/14260/76089/24088/320840/12540/260305/19249/16373/12564/12560/12554/16971/109711/22418/75409/18810/17886/58234/13383/208177/13640/20411/238829",24
"GO:0032535","BP","GO:0032535","regulation of cellular component size","21/479","411/28891",6.250800043205e-06,0.00653521144517083,0.00539707235309358,"14260/24088/74772/18096/12704/23945/11941/16534/17973/108737/16971/74370/217835/17755/22418/58234/13383/13640/260409/245857/20562",21
"GO:0045664","BP","GO:0045664","regulation of neuron differentiation","15/479","245/28891",1.66056012144437e-05,0.0111045467586239,0.00917063553450756,"19130/18128/69743/18096/12704/20377/16373/17268/50779/58208/17755/66725/12053/21844/21413",15
"GO:0050714","BP","GO:0050714","positive regulation of protein secretion","13/479","188/28891",1.68985528473343e-05,0.0111045467586239,0.00917063553450756,"102635496/56508/14683/24088/74772/18096/16534/233079/16971/360013/12289/17886/12488",13
"GO:0050807","BP","GO:0050807","regulation of synapse organization","17/479","309/28891",1.85872375204131e-05,0.0111045467586239,0.00917063553450756,"13838/56508/228880/24088/320840/12540/19249/12564/54712/26564/22418/14803/75409/58234/66725/21844/13640",17
"GO:0050796","BP","GO:0050796","regulation of insulin secretion","14/479","221/28891",2.16580339257222e-05,0.0113217372346713,0.00935000122503877,"56508/15378/14683/15107/18096/75387/233079/20377/16971/74370/12289/17886/21844/13640",14
"GO:0050803","BP","GO:0050803","regulation of synapse structure or activity","17/479","317/28891",2.57320320805366e-05,0.0117298989182967,0.00968707955169564,"13838/56508/228880/24088/320840/12540/19249/12564/54712/26564/22418/14803/75409/58234/66725/21844/13640",17
"GO:0043506","BP","GO:0043506","regulation of JUN kinase activity","8/479","74/28891",3.11421182929899e-05,0.0117298989182967,0.00968707955169564,"13838/63953/20377/26564/22418/21844/14370/26403",8
"GO:0048013","BP","GO:0048013","ephrin receptor signaling pathway","6/479","38/28891",3.54343144723126e-05,0.0117298989182967,0.00968707955169564,"13838/18128/13846/17973/21844/13640",6
"GO:0007264","BP","GO:0007264","small GTPase mediated signal transduction","20/479","428/28891",3.70485214787978e-05,0.0117298989182967,0.00968707955169564,"18128/56508/76089/213498/12540/320292/319974/70527/232201/12554/319899/217944/12614/12053/21844/320484/12488/260409/20469/11554",20
"GO:0007044","BP","GO:0007044","cell-substrate junction assembly","9/479","98/28891",3.74776190413256e-05,0.0117298989182967,0.00968707955169564,"13518/14260/16971/109711/18810/17886/208177/13640/20411",9
"GO:0007160","BP","GO:0007160","cell-matrix adhesion","14/479","235/28891",4.2571026867028e-05,0.0117298989182967,0.00968707955169564,"14260/230959/12554/319480/104099/12817/16971/109711/17886/12053/208177/21844/13640/20411",14
"GO:0009306","BP","GO:0009306","protein secretion","20/479","434/28891",4.49710099150548e-05,0.0117298989182967,0.00968707955169564,"102635496/56508/15378/14683/24088/15107/74772/18096/75387/16534/233079/20377/16971/360013/74370/12289/17886/21844/12488/13640",20
"GO:0035592","BP","GO:0035592","establishment of protein localization to extracellular region","20/479","435/28891",4.64290962980031e-05,0.0117298989182967,0.00968707955169564,"102635496/56508/15378/14683/24088/15107/74772/18096/75387/16534/233079/20377/16971/360013/74370/12289/17886/21844/12488/13640",20
"GO:0034332","BP","GO:0034332","adherens junction organization","7/479","58/28891",4.77524077843478e-05,0.0117298989182967,0.00968707955169564,"13838/12540/233765/12564/12560/12554/18810",7
"GO:0035567","BP","GO:0035567","non-canonical Wnt signaling pathway","7/479","59/28891",5.34144228692444e-05,0.0117298989182967,0.00968707955169564,"140577/20377/26564/22418/12614/21844/14370",7
"GO:0007178","BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","19/479","405/28891",5.47147214679518e-05,0.0117298989182967,0.00968707955169564,"18128/241324/11480/15378/65112/55994/18550/20377/94187/20660/432442/58250/16971/114716/72183/26564/22418/215001/102465187",19
"GO:0071692","BP","GO:0071692","protein localization to extracellular region","20/479","441/28891",5.60970775623947e-05,0.0117298989182967,0.00968707955169564,"102635496/56508/15378/14683/24088/15107/74772/18096/75387/16534/233079/20377/16971/360013/74370/12289/17886/21844/12488/13640",20
"GO:0051961","BP","GO:0051961","negative regulation of nervous system development","12/479","183/28891",5.94758357979275e-05,0.0118441878717587,0.00978146452395991,"63953/19130/18128/76089/24088/69743/18096/19249/12704/20660/22418/20562",12
"GO:0150115","BP","GO:0150115","cell-substrate junction organization","9/479","105/28891",6.46284923353126e-05,0.0122852888611944,0.0101457456149359,"13518/14260/16971/109711/18810/17886/208177/13640/20411",9
"GO:0030100","BP","GO:0030100","regulation of endocytosis","17/479","344/28891",7.1154985211409e-05,0.0129378325284397,0.0106846456054294,"24088/12540/68420/11813/12554/117148/16971/109934/360013/18195/108800/217835/22418/12759/17886/66725/12488",17
"GO:0044331","BP","GO:0044331","cell-cell adhesion mediated by cadherin","6/479","44/28891",8.33066714504154e-05,0.0145161875002349,0.0119881223258251,"18128/233765/12564/12560/12554/22418",6
"GO:0043547","BP","GO:0043547","positive regulation of GTPase activity","14/479","253/28891",9.40459928510912e-05,0.0157320136841305,0.0129922064229234,"56508/14683/76089/320292/52850/232201/319899/109934/50779/217944/22418/21844/20469/11554",14
"GO:0090287","BP","GO:0090287","regulation of cellular response to growth factor stimulus","16/479","323/28891",0.000112177941923749,0.0165398653132874,0.013659366732839,"18128/241324/12509/65112/18550/20377/94187/20660/58250/16971/14783/114716/72183/22418/215001/21413",16
"GO:0099175","BP","GO:0099175","regulation of postsynapse organization","10/479","139/28891",0.000113308536745073,0.0165398653132874,0.013659366732839,"13838/56508/228880/12540/26564/22418/14803/58234/66725/21844",10
"GO:0043405","BP","GO:0043405","regulation of MAP kinase activity","12/479","197/28891",0.000120208697097747,0.0165398653132874,0.013659366732839,"13838/63953/20377/20660/19882/80280/26564/22418/66725/21844/14370/26403",12
"GO:0046889","BP","GO:0046889","positive regulation of lipid biosynthetic process","9/479","114/28891",0.000122292233641187,0.0165398653132874,0.013659366732839,"12334/15378/20280/75387/11813/26457/216453/74370/20411",9
"GO:0043393","BP","GO:0043393","regulation of protein binding","13/479","228/28891",0.000123268575791792,0.0165398653132874,0.013659366732839,"228788/76089/12540/13666/14339/22761/20660/16971/22418/66725/21844/215001/211482",13
"GO:0001738","BP","GO:0001738","morphogenesis of a polarized epithelium","8/479","90/28891",0.000127175060927111,0.0165398653132874,0.013659366732839,"140577/12540/230959/20377/14107/26564/22418/12614",8
"GO:0030178","BP","GO:0030178","negative regulation of Wnt signaling pathway","11/479","169/28891",0.000127997367097063,0.0165398653132874,0.013659366732839,"18128/140577/260305/20377/207181/16971/14783/18230/26564/72293/22418",11
"GO:0090092","BP","GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","14/479","261/28891",0.000130515436475008,0.0165398653132874,0.013659366732839,"18128/241324/11480/65112/18550/20377/94187/20660/58250/16971/114716/72183/22418/215001",14
