RANK,ID,pairno,GroupID,RANK.1,gender,D_VS_C,D_VS_C_Blood,D_VS_C_Blood_1,D_VS_C_Blood_2,D_VS_C_Brain,D_VS_C_Brain_1,D_VS_C_Brain_2,D_Brain_VS_D_Blood,C_Brain_VS_C_Blood
1,D1_1,3_45_1_Ñª,D1,1,2,g1,g1,g0,g1,g0,g0,g0,g2,g0
2,D1_10,4_37_1_Ñª ,D1,2,1,g1,g1,g1,g0,g0,g0,g0,g2,g0
3,D1_11,4_65_1_Ñª ,D1,3,2,g1,g1,g0,g1,g0,g0,g0,g2,g0
4,D1_2,3_45_4_Ñª,D1,4,2,g1,g1,g0,g1,g0,g0,g0,g2,g0
5,D1_3,3_85_1_Ñª,D1,5,1,g1,g1,g1,g0,g0,g0,g0,g2,g0
6,D1_4,3_77_1_Ñª,D1,6,2,g1,g1,g0,g1,g0,g0,g0,g2,g0
7,D1_5,3_7_1_Ñª,D1,7,1,g1,g1,g1,g0,g0,g0,g0,g2,g0
8,D1_6,4_11_1_Ñª ,D1,8,1,g1,g1,g1,g0,g0,g0,g0,g2,g0
9,D1_8,4_18_1_Ñª ,D1,9,1,g1,g1,g1,g0,g0,g0,g0,g2,g0
10,D1_9,4_21_1_Ñª ,D1,10,2,g1,g1,g0,g1,g0,g0,g0,g2,g0
11,D2_1,3_45_1_ÄÔ,D2,11,2,g1,g0,g0,g0,g1,g0,g1,g1,g0
12,D2_10,4_37_1_ÄÔ,D2,12,1,g1,g0,g0,g0,g1,g1,g0,g1,g0
13,D2_11,4_65_1_ÄÔ,D2,13,2,g1,g0,g0,g0,g1,g0,g1,g1,g0
14,D2_2,3_45_4_ÄÔ,D2,14,2,g1,g0,g0,g0,g1,g0,g1,g1,g0
15,D2_3,3_85_1_ÄÔ,D2,15,1,g1,g0,g0,g0,g1,g1,g0,g1,g0
16,D2_4,3_77_1_ÄÔ,D2,16,2,g1,g0,g0,g0,g1,g0,g1,g1,g0
17,D2_5,3_7_1_ÄÔ,D2,17,1,g1,g0,g0,g0,g1,g1,g0,g1,g0
18,D2_6,4_11_1_ÄÔ ,D2,18,1,g1,g0,g0,g0,g1,g1,g0,g1,g0
19,D2_8,4_18_1_ÄÔ ,D2,19,1,g1,g0,g0,g0,g1,g1,g0,g1,g0
20,D2_9,4_21_1_ÄÔ ,D2,20,2,g1,g0,g0,g0,g1,g0,g1,g1,g0
21,C1_1,3_27_2_Ñª,C1,21,1,g2,g2,g2,g0,g0,g0,g0,g0,g2
22,C1_10,4_76_1_Ñª ,C1,22,1,g2,g2,g2,g0,g0,g0,g0,g0,g2
23,C1_11,4_71_1_Ñª ,C1,23,1,g2,g2,g2,g0,g0,g0,g0,g0,g2
24,C1_2,3_83_3_Ñª,C1,24,2,g2,g2,g0,g2,g0,g0,g0,g0,g2
25,C1_3,3_84_1_Ñª,C1,25,1,g2,g2,g2,g0,g0,g0,g0,g0,g2
26,C1_4,3_84_4_Ñª,C1,26,1,g2,g2,g2,g0,g0,g0,g0,g0,g2
27,C1_5,3_2_2_Ñª,C1,27,1,g2,g2,g2,g0,g0,g0,g0,g0,g2
28,C1_7,4_16_1_Ñª ,C1,28,2,g2,g2,g0,g2,g0,g0,g0,g0,g2
29,C1_8,4_17_1_Ñª ,C1,29,2,g2,g2,g0,g2,g0,g0,g0,g0,g2
30,C1_9,4_23_1_Ñª ,C1,30,2,g2,g2,g0,g2,g0,g0,g0,g0,g2
31,C2_1,3_27_2_ÄÔ,C2,31,1,g2,g0,g0,g0,g2,g2,g0,g0,g1
32,C2_10,4_76_1_ÄÔ ,C2,32,1,g2,g0,g0,g0,g2,g2,g0,g0,g1
33,C2_11,4_71_1_ÄÔ ,C2,33,1,g2,g0,g0,g0,g2,g2,g0,g0,g1
34,C2_2,3_83_3_ÄÔ,C2,34,2,g2,g0,g0,g0,g2,g0,g2,g0,g1
35,C2_3,3_84_1_ÄÔ,C2,35,1,g2,g0,g0,g0,g2,g2,g0,g0,g1
36,C2_4,3_84_4_ÄÔ,C2,36,1,g2,g0,g0,g0,g2,g2,g0,g0,g1
37,C2_5,3_2_2_ÄÔ,C2,37,1,g2,g0,g0,g0,g2,g2,g0,g0,g1
38,C2_7,4_16_1_ÄÔ ,C2,38,2,g2,g0,g0,g0,g2,g0,g2,g0,g1
39,C2_8,4_17_1_ÄÔ ,C2,39,2,g2,g0,g0,g0,g2,g0,g2,g0,g1
40,C2_9,4_23_1_ÄÔ ,C2,40,2,g2,g0,g0,g0,g2,g0,g2,g0,g1
